Sample #,Start time,Thread name,Label,Sample time (ms),Status,Bytes,Sent bytes,Latency,Connect time(ms)
86,14:22.2,Thread Group 1-7,POST save,1026,Success,12694,437,275,127
87,14:22.3,Thread Group 1-16,POST save,945,Success,12694,437,140,0
88,14:22.8,Thread Group 1-3,GET,871,Success,12501,142,871,75
89,14:22.8,Thread Group 1-9,GET,977,Success,12501,142,977,77
90,14:18.1,Thread Group 1-11,POST send,5733,Success,12694,372,4672,0
91,14:22.7,Thread Group 1-2,POST save,1182,Success,12694,437,190,77
92,14:23.7,Thread Group 1-9,POST save,885,Success,12694,437,113,0
93,14:22.8,Thread Group 1-8,POST send,1925,Success,12694,372,1132,89
94,14:22.8,Thread Group 1-12,POST send,1947,Success,12694,372,1138,82
95,14:23.8,Thread Group 1-11,DELETE URL,968,Success,12694,376,305,0
96,14:24.4,Thread Group 1-19,GET,794,Success,12501,142,794,113
97,14:22.8,Thread Group 1-13,POST save,2959,Success,12694,437,236,79
98,14:22.3,Thread Group 1-15,POST send,3410,Success,12694,372,798,0
99,14:22.7,Thread Group 1-6,POST send,3004,Success,12694,372,961,90
100,14:23.2,Thread Group 1-17,POST save,2554,Success,12694,437,114,0
101,14:22.8,Thread Group 1-1,DELETE URL,3015,Success,12694,376,502,86
102,14:23.4,Thread Group 1-18,GET,2347,Success,12501,142,2347,78
103,14:22.7,Thread Group 1-5,POST save,3035,Success,12694,437,239,82
104,14:22.8,Thread Group 1-14,POST save,3019,Success,12694,437,226,75
105,14:23.6,Thread Group 1-3,POST save,2167,Success,12694,437,123,0
106,14:24.8,Thread Group 1-11,GET,994,Success,12501,142,994,73
107,14:23.9,Thread Group 1-2,POST send,1909,Success,12694,372,878,0
108,14:22.7,Thread Group 1-10,DELETE URL,3101,Success,12694,376,407,78
109,14:22.8,Thread Group 1-4,POST send,3066,Success,12694,372,964,77
110,14:24.7,Thread Group 1-8,DELETE URL,1130,Success,12694,376,262,0
111,14:24.7,Thread Group 1-12,DELETE URL,1119,Success,12694,376,257,0
112,14:25.2,Thread Group 1-19,POST save,878,Success,12694,437,134,0
113,14:24.6,Thread Group 1-9,POST send,1491,Success,12694,372,721,0
114,14:25.4,Thread Group 1-20,GET,813,Success,12501,142,813,72
115,14:25.8,Thread Group 1-8,GET,1154,Success,12501,142,1153,0
116,14:25.8,Thread Group 1-12,GET,1175,Success,12501,142,1175,0
117,14:25.8,Thread Group 1-1,GET,1616,Success,12501,142,1615,80
118,14:25.8,Thread Group 1-10,GET,1590,Success,12501,142,1590,82
119,14:25.8,Thread Group 1-5,POST send,2396,Success,12694,372,1647,76
120,14:25.8,Thread Group 1-3,POST send,2405,Success,12694,372,1648,79
121,14:25.8,Thread Group 1-4,DELETE URL,2975,Success,12694,376,520,74
122,14:26.1,Thread Group 1-9,DELETE URL,2735,Success,12694,376,689,0
123,14:26.4,Thread Group 1-21,GET,2479,Success,12501,142,2479,66
124,14:26.2,Thread Group 1-20,POST save,2697,Success,12694,437,124,0
125,14:27.0,Thread Group 1-8,POST save,1971,Success,12694,437,386,77
126,14:25.7,Thread Group 1-13,POST send,3248,Success,12694,372,1418,94
127,14:25.8,Thread Group 1-11,POST save,3186,Success,12694,437,106,0
128,14:23.2,Thread Group 1-16,POST send,5748,Success,12694,372,3658,0
129,14:27.0,Thread Group 1-12,POST save,1999,Success,12694,437,364,73
